Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CostToIncomeRatio,CreditImpairmentCharge,Deposits,NetInterestIncome,NetLoansAndAdvances,NonInterestIncome,OperatingExpenses,EPSDiluted
H1 FY2021,8255.0,,,,,,,3208.0,38.8613,0.971,9877.0,310.0,,61576.0,871573.0,809996.0,118290.0,56729.0,3289.0,,,,,,,millions,AUD,46.8,-128.0,572726.0,6840.0,588603.0,1415.0,3863.0,0.927
FY2021,16729.0,,,,,,,6364.0,38.0417,1.93,759.0,858.0,,62779.0,925968.0,863189.0,115985.0,37881.0,3290.0,,,,,,,millions,AUD,47.0,-202.0,605043.0,13793.0,621156.0,2936.0,7863.0,1.852
H1 FY2022,9071.0,,,,,,,3551.0,39.1467,1.091,29316.0,424.0,,61029.0,975876.0,914847.0,114120.0,64299.0,3254.0,,,,,,,millions,AUD,44.89,-2.0,654780.0,7076.0,652488.0,1995.0,4072.0,1.048
FY2022,18570.0,,,,,,,6891.0,37.1082,2.141,28221.0,1076.0,,59032.0,1055126.0,996094.0,126601.0,62179.0,3219.0,,,,,,,millions,AUD,46.86,124.0,683526.0,14840.0,680434.0,3730.0,8702.0,2.056
H1 FY2023,10568.0,,,,,,,3967.0,37.5379,1.263,13757.0,478.0,,61415.0,1048288.0,986873.0,138791.0,79835.0,3142.0,,,,,,,millions,AUD,43.29,409.0,689020.0,8475.0,695053.0,2093.0,4575.0,1.212
FY2023,20648.0,,,,,,,7414.0,35.9066,2.364,-26699.0,1192.0,,61154.0,1059083.0,997580.0,144206.0,40589.0,3136.0,,,,,,,millions,AUD,45.44,816.0,682120.0,16807.0,702702.0,3841.0,9382.0,2.287
H1 FY2024,10170.0,,,,,,,3494.0,34.3559,1.122,-27528.0,511.0,,61366.0,1071005.0,1009295.0,158941.0,22484.0,3113.0,,,,,,,millions,AUD,47.38,376.0,695537.0,8398.0,719877.0,1772.0,4819.0,1.104
FY2024,20646.0,,,,,,,6960.0,33.7111,2.246,-35781.0,1440.0,,61455.0,1080248.0,1018035.0,165854.0,18836.0,3099.0,,,,,,,millions,AUD,48.56,741.0,712566.0,16757.0,732692.0,3889.0,10026.0,2.227
H1 FY2025,10282.0,,,,,,,3407.0,33.1356,1.112,-1996.0,542.0,,62169.0,1095639.0,1032720.0,181474.0,18899.0,3064.0,,,,,,,millions,AUD,49.0,348.0,720886.0,8450.0,750821.0,1832.0,5038.0,1.092
FY2025,20872.0,,,,,,,6759.0,32.3831,2.21,8511.0,1405.0,,62922.0,1109062.0,1045415.0,183279.0,24818.0,3059.0,,,,,,,millions,AUD,49.58,833.0,736159.0,17403.0,776126.0,3469.0,10348.0,2.199
H1 FY2026,11158.0,,,,,,,2750.0,24.646,0.899,-9884.0,513.0,,60561.0,1142653.0,1081404.0,179129.0,11425.0,3059.0,,,,,,,millions,AUD,59.1,706.0,765823.0,9163.0,798582.0,1995.0,6594.0,0.897
