Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,Deposits,NetInterestIncome,NetLoans,BasicEPS,TreasurySharesPurchased
H1 FY2021,5519.0,,,,1253.0,22.7,,985.0,17.8,2.729,-5001.0,193.0,,20508.0,230735.0,209946.0,77038.0,8681.0,356.0,255.0,,,,,,millions,AUD,77258.0,1033.0,93414.0,2.767,
FY2021,12774.0,,,,3907.0,30.6,,3015.0,23.6,8.246,2826.0,402.0,,22048.0,245653.0,223302.0,80220.0,18425.0,357.7,529.0,,,,,,millions,AUD,84199.0,2195.0,105026.0,,
H1 FY2022,7804.0,,,,2735.0,35.0,,2043.0,26.2,5.454,17937.0,326.0,,24064.0,348567.0,324153.0,100113.0,32221.0,363.2,319.0,,,,,,millions,AUD,91736.0,1373.0,118359.0,5.625,
FY2022,17324.0,,,,6539.0,37.7,,4706.0,27.2,12.306,50451.0,892.0,,28561.0,399176.0,370370.0,122936.0,52754.0,370.1,618.0,,,,,,millions,AUD,101667.0,2860.0,134744.0,,
H1 FY2023,8641.0,,,,3028.0,35.0,,2305.0,26.7,5.851,8402.0,288.0,,31337.0,486574.0,454887.0,140078.0,54125.0,382.1,366.0,,,,,,millions,AUD,122227.0,1471.0,148874.0,6.033,923.0
FY2023,19122.0,,,,6992.0,36.6,,5182.0,27.1,13.163,-11380.0,754.0,,33155.0,387872.0,353766.0,122352.0,45656.0,382.8,751.0,,,,,,millions,AUD,134714.0,3028.0,158572.0,,1025.0
H1 FY2024,7910.0,,,,1991.0,25.2,,1415.0,17.9,3.662,1672.0,893.0,,32651.0,394594.0,361456.0,132719.0,29587.0,383.3,406.0,,,,,,millions,AUD,135966.0,1633.0,167495.0,3.692,1261.0
FY2024,16887.0,,,,4826.0,28.6,,3522.0,20.9,9.114,-4090.0,1957.0,,33481.0,403404.0,369408.0,134079.0,31855.0,384.2,799.0,,,,,,millions,AUD,148416.0,3459.0,176371.0,,1317.0
H1 FY2025,8216.0,,,,2297.0,28.0,,1612.0,19.6,4.23,-1539.0,441.0,,32299.0,414315.0,381481.0,146749.0,19109.0,379.7,433.0,,,,,,millions,AUD,158472.0,1669.0,187064.0,4.246,844.0
FY2025,17208.0,,,,5068.0,29.5,,3715.0,21.6,9.755,6334.0,1006.0,,35356.0,445221.0,409432.0,151573.0,26385.0,379.3,843.0,,,,,,millions,AUD,177671.0,3507.0,205648.0,9.794,935.0
H1 FY2026,8691.0,,,,2452.0,28.2,,1655.0,19.0,4.35,683.0,377.0,,34561.0,484216.0,449022.0,161437.0,23455.0,379.0,439.0,,,,,,millions,AUD,198769.0,2066.0,224042.0,4.367,821.0
FY2026,19477.0,,,,6729.0,34.5,,4847.0,24.9,12.669,12530.0,586.0,,36068.0,540101.0,503245.0,167944.0,23422.0,379.6,837.0,,,,,,millions,AUD,221547.0,4151.0,253529.0,12.77,881.0
