Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,GameRevenue,YoudaoRevenue,CloudMusicRevenue,InnovativeRevenue
Q2 2020,18148.9,,9587.7,52.8,4676.0,25.8,,3558.0,19.6,,,,5754.2,,,,,,,,,,,,,millions,RMB,529.7,,3543.4,
Q3 2020,18658.2,,9885.8,53.0,2869.5,15.4,,2998.2,16.1,,,,6110.3,,,,,,,,,,,,,millions,RMB,896.0,,3900.1,
Q4 2020,19761.7,,9927.8,50.2,3012.0,15.2,,975.7,4.9,0.29,,,5741.6,118044.8,,,12233.0,22411.1,3411.2,,,,,,,millions,RMB,13400.2,1106.8,,5254.8
FY2020,73631.2,,38778.9,52.7,15043.9,20.4,,12062.8,16.4,3.6,,,24106.7,118044.8,,,12233.0,22411.1,3349.8,,,,,,,millions,RMB,54856.3,3074.0,,15700.9
Q1 2021,20502.3,,11178.5,54.5,4900.9,23.9,,3651.4,17.8,,,,7438.8,,,,,,,,,,,,,millions,RMB,669.3,,4753.0,
Q2 2021,20893.9,,11308.1,54.1,5073.0,24.3,,4254.0,20.4,,,,6852.6,,,,,,,,,,,,,millions,RMB,876.0,,4634.9,
Q3 2021,22172.2,,11998.9,54.1,5313.5,24.0,,3181.8,14.4,0.95,,,7787.5,,,,,,3361.7,,,,,,,millions,RMB,1055.6,,5245.6,
Q4 2021,24419.2,,13047.6,53.4,5982.8,24.5,,5694.2,23.3,1.71,,,10278.8,128766.8,,,11866.7,31893.0,3323.0,,,,,,,millions,RMB,17528.0,1358.4,,5532.8
FY2021,87987.6,,47533.1,54.0,21270.2,24.2,,16856.8,19.2,5.01,,,32357.7,128766.8,,,11866.7,31893.0,3367.5,,,,,,,millions,RMB,63862.0,3959.1,,20166.5
Q1 2022,23488.7,,12746.6,54.3,5729.5,24.4,,4769.6,20.3,,,,8851.2,,,,,,,,,,,,,millions,RMB,1049.5,,5237.2,
Q2 2022,24264.6,,13063.7,53.8,5871.9,24.2,,5086.5,21.0,,,,9013.1,,,,,,,,,,,,,millions,RMB,1229.4,,5288.2,
Q3 2022,24529.5,,13148.1,53.6,5835.5,23.8,,6699.4,27.3,2.03,,,9662.7,,,,,,3293.8,,,,,,,millions,RMB,1415.4,,5107.1,
Q4 2022,27140.2,,14518.0,53.5,7186.5,26.5,,3952.7,14.6,1.21,,,11808.3,120571.4,,,19667.4,22779.6,3269.1,,,,,,,millions,RMB,20078.0,1389.0,,5673.2
FY2022,99423.0,,53476.4,53.8,24623.4,24.8,,20337.6,20.5,6.17,,,39335.3,120571.4,,,19667.4,22779.6,3296.0,,,,,,,millions,RMB,73034.0,5083.3,,21305.7
Q1 2023,24955.4,,13440.5,53.9,6352.0,25.5,,5400.0,21.6,,,,10114.3,,,,,,,,,,,,,millions,RMB,1227.2,,5235.2,
Q2 2023,25132.2,,13467.5,53.6,6233.6,24.8,,5440.7,21.6,,,,10300.7,,,,,,,,,,,,,millions,RMB,1227.1,,5321.1,
Q3 2023,26209.9,,14090.8,53.8,6861.6,26.2,,7810.9,29.8,2.41,,,10575.6,,,,,,3249.6,,,,,,,millions,RMB,1318.6,,5538.3,
Q4 2023,27140.2,,14418.2,53.1,6868.5,25.3,,6582.3,24.3,2.02,,,11808.3,124285.8,,,19668.0,21428.9,3253.2,,,,,,,millions,RMB,20921.4,1480.5,1985.5,2752.7
FY2023,103437.7,,55417.0,53.6,26315.7,25.4,,29416.6,28.4,9.05,,,42799.0,124285.8,,,19668.0,21428.9,3252.0,,,,,,,millions,RMB,77351.4,5253.4,7866.9,20966.0
Q1 2024,26900.0,,14476.4,53.8,7350.0,27.3,,7073.3,26.3,,,,9636.8,,,,,,,,,,,,,millions,RMB,1364.0,2006.0,2030.0,
Q2 2024,25500.0,,16036.7,62.9,6861.7,26.9,,6812.7,26.7,,,,10575.6,,,,,,,,,,,,,millions,RMB,1313.0,1999.0,2088.0,
Q3 2024,26209.9,,16476.6,62.9,7146.7,27.3,,6538.4,24.9,2.03,,,10575.6,,,,,,3224.1,,,,,,,millions,RMB,1572.5,1999.2,1774.1,
Q4 2024,26747.8,,16272.3,60.8,7821.4,29.2,,8766.5,32.8,2.73,,,13012.2,138685.6,,,12233.0,51383.3,3206.1,,,,,,,millions,RMB,21242.4,1339.8,1880.5,2285.1
FY2024,105377.6,,65807.1,62.4,29179.8,27.7,,29697.6,28.2,9.19,,,45095.1,138685.6,,,12233.0,51383.3,3230.6,,,,,,,millions,RMB,83706.4,5625.9,7950.1,8096.5
Q1 2025,28800.0,,18464.0,64.1,8592.2,29.8,,10300.0,35.8,,,,12100.0,,,,,,,,,,,,,millions,RMB,24048.0,1298.3,1858.4,1623.9
Q2 2025,27943.3,,18096.8,64.8,9066.1,32.4,,8601.0,30.8,2.7,,,10931.7,,,,,,3214.7,946.4,,,,,,millions,RMB,22806.5,1417.5,1968.7,1698.9
Q3 2025,28401.5,,18173.4,64.0,8039.7,28.3,,8589.5,30.2,,,,12872.0,156256.2,,,7350.0,31326.8,,,,,,,,millions,RMB,23325.0,1620.0,1972.0,1484.5
Q4 2025,27547.0,,17692.4,64.2,8319.2,30.2,9039.5,6242.0,22.7,,,,14501.5,160296.1,,,6384.4,47167.9,,,,,,,,millions,RMB,21966.6,1564.7,1968.3,2047.4
FY2025,112625.8,,72401.9,64.3,35834.9,31.8,38082.3,33759.8,30.0,10.48,,,48687.3,160296.1,,,6384.4,47167.9,3218.2,,,,,,,millions,RMB,92148.6,5909.0,7759.5,6808.7
Q1 2026,30591.3,9374.2,21217.1,69.4,12656.8,41.4,13087.4,10674.1,34.9,3.31,,,13130.9,164722.2,,,10955.5,50815.2,3227.3,616.2,,,,,,millions,RMB,25713.0,1348.0,1981.2,1549.1
Q2 2026,30106.5,8889.2,21217.3,70.5,12089.3,40.2,12528.7,6980.7,23.2,2.17,9972.9,18.8,9954.1,167090.5,232208.1,60646.4,12604.2,22814.5,3221.6,781.7,,,,,,millions,RMB,25022.8,1466.9,1977.5,1639.4
