Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CapexInvestmentProperty,CapexPPE,CashTaxRate,FranchiseRevenue,LeasePrincipalPaid,OtherIncomeItems,SalesRevenue
H1 FY2020,1736.927,835.216,403.868,32.6,332.387,19.1,405.488,213.593,12.3,0.1768,298.769,96.217,202.552,3283.986,6049.005,2765.019,750.458,197.231,1208.1,1.771,,,,,,millions,AUD,30.743,65.474,22.4,497.843,61.86,106.015,1239.084
FY2020,3350.779,1555.271,739.642,32.2,721.082,21.5,870.467,480.541,14.3,0.3915,1056.964,145.379,911.585,3477.325,5828.602,2351.277,297.841,313.195,1227.5,3.449,0.24,,,,,millions,AUD,51.474,93.905,19.5,1055.866,124.77,194.995,2294.913
H1 FY2021,2216.496,980.592,493.837,33.5,668.947,30.2,743.937,462.028,20.8,0.3703,391.951,88.776,303.175,3739.518,6256.699,2517.181,260.976,269.35,1247.7,3.475,,,,,,millions,AUD,27.0,61.776,19.6,742.067,64.633,123.698,1474.429
FY2021,4114.11,1838.365,929.963,33.6,1232.742,30.0,1383.06,841.414,20.5,0.6745,543.869,274.122,269.747,3893.019,6672.934,2779.915,559.969,264.431,1247.5,5.648,0.35,,,,,millions,AUD,173.822,100.3,17.5,1345.782,130.849,324.521,2768.328
H1 FY2022,2117.129,988.304,487.108,33.0,637.756,30.1,715.838,430.913,20.4,0.3455,566.164,63.463,502.701,4164.275,6961.365,2797.09,473.67,397.067,1247.2,4.253,,,,,,millions,AUD,19.537,43.926,35.3,641.717,67.751,222.492,1475.412
FY2022,4108.471,1871.051,936.278,33.4,1192.591,29.0,1348.996,811.527,19.8,0.6504,597.3,176.073,421.227,4294.124,7246.403,2952.279,699.575,248.804,1247.7,7.326,0.375,,,,,millions,AUD,81.155,94.918,29.5,1301.142,137.615,397.186,2807.329
H1 FY2023,2125.059,1008.532,461.899,31.4,562.373,26.5,641.157,365.9,17.2,0.2932,341.074,135.113,205.961,4462.415,7812.185,3349.77,879.104,325.758,1248.0,4.735,0.13,,,,,millions,AUD,66.915,68.198,31.3,654.628,72.605,216.964,1470.431
FY2023,3947.213,1884.104,891.966,32.1,867.738,22.0,1028.596,539.52,13.7,0.4323,680.257,325.458,354.799,4466.489,7671.831,3205.342,850.361,218.75,1248.0,7.592,0.25,,,,,millions,AUD,137.798,187.66,30.0,1171.143,147.537,327.988,2776.07
H1 FY2024,2041.847,1017.006,460.545,31.2,337.952,16.6,420.706,200.011,9.8,0.1602,497.314,157.967,339.347,4509.723,7858.144,3348.421,840.757,344.391,1248.5,2.025,0.1,,,,,millions,AUD,76.372,81.595,24.4,564.296,74.5,108.334,1477.551
FY2024,3882.873,1931.016,872.342,31.1,652.67,16.8,819.131,352.453,9.1,0.2823,686.531,323.357,363.174,4536.93,7927.867,3390.937,944.585,273.472,1248.5,2.835,0.22,,,,,millions,AUD,131.199,192.158,22.1,1079.515,150.728,227.121,2803.358
H1 FY2025,2088.619,1033.033,457.079,30.7,461.264,22.1,547.174,279.394,13.4,0.2238,448.1,156.079,292.021,4716.062,8253.624,3537.562,888.9,314.233,1248.4,2.16,0.12,,,,,millions,AUD,46.614,109.465,17.6,598.507,77.063,203.1,1490.112
FY2025,4079.465,2021.151,898.0,30.8,870.977,21.4,1053.433,518.016,12.7,0.415,694.302,264.847,429.455,4844.445,8373.227,3528.782,938.207,279.688,1248.2,3.153,0.265,,,,,millions,AUD,81.289,183.558,18.6,1160.314,158.178,385.877,2919.151
H1 FY2026,2310.504,1154.826,508.7,30.6,527.533,22.8,622.561,321.911,13.9,0.2581,392.884,137.343,255.541,4948.825,8772.891,3824.066,1037.843,385.345,1247.2,1.525,0.145,,,,,millions,AUD,70.37,66.973,22.1,646.978,79.838,221.602,1663.526
FY2026,4266.418,2113.034,938.811,30.8,917.016,21.5,1098.894,528.459,12.4,0.4236,537.22,283.703,253.517,4939.978,8849.931,3909.953,1239.484,298.612,1247.5,2.368,0.275,,,,,millions,AUD,133.2,150.503,23.5,1214.573,156.638,417.998,3051.845
