Period,Revenue,SubscriptionRevenue,MaintenanceRevenue,OtherRevenue,CloudRevenue,DataCenterRevenue,ServerRevenue,MarketplaceAndServices,CostOfRevenue,GrossProfit,GrossMargin,RnDExpense,SalesAndMarketing,GnAExpense,OperatingIncome,OperatingMargin,NetIncome,EPSDiluted,OperatingCashFlow,CapEx,FreeCashFlow,CashAndInvestments,TotalDebt,ShareholdersEquity,SharesOutstanding,Notes
Q3 FY2024,1189.1,1071.4,29.5,88.2,703.0,364.1,29.7,92.2,213.4,975.7,82.1,576.5,223.8,157.6,17.8,1.5,12.8,0.05,565.4,10.5,554.9,2112.3,974.7,1134.2,261.8,Cash $1949.0M + Investments $163.3M. Debt: $50M current + $924.7M LT.
Q4 FY2024,1131.6,1068.9,0.0,62.7,738.0,326.7,0.0,66.9,217.5,914.1,80.8,589.1,239.6,152.3,-67.0,-5.9,-196.9,-0.76,426.2,13.1,413.2,2338.9,985.9,1032.9,260.3,Cash $2176.9M + Investments $162.0M. Server end-of-life Feb 2024.
Q1 FY2025,1187.8,1131.9,0.0,55.8,792.3,335.6,0.0,59.9,217.6,970.2,81.7,603.1,252.4,146.6,-32.0,-2.7,-123.8,-0.48,80.5,6.2,74.3,2217.0,986.3,1028.8,260.5,Cash $2055.6M + Investments $161.4M.
Q2 FY2025,1286.5,1213.2,0.0,73.2,847.0,362.3,0.0,77.2,223.1,1063.3,82.7,680.2,271.9,168.7,-57.5,-4.5,-38.2,-0.15,351.9,9.3,342.6,2469.2,986.8,1219.6,261.1,Cash $2217.6M + Investments $251.6M.
Q3 FY2025,1356.7,1272.9,0.0,83.8,880.4,388.5,0.0,87.8,219.7,1137.0,83.8,685.3,295.8,168.3,-12.5,-0.9,-70.8,-0.27,652.7,14.4,638.3,2974.5,987.2,1368.9,262.7,Cash $2660.9M + Investments $313.6M.
Q4 FY2025,1384.3,1312.5,0.0,71.8,927.7,380.8,0.0,75.8,234.4,1149.9,83.1,700.7,314.4,163.3,-28.5,-2.1,-23.9,-0.09,375.3,15.0,360.3,2937.2,987.7,1345.7,262.9,Cash $2512.9M + Investments $424.3M.
Q1 FY2026,1432.6,1374.5,0.0,58.1,997.7,372.6,0.0,62.2,257.9,1174.6,82.0,756.0,336.4,178.5,-96.3,-6.7,-51.9,-0.20,128.7,14.1,114.6,2778.4,988.1,1379.0,263.0,Cash $2322.4M + Investments $456.0M.
Q2 FY2026,1586.3,1507.7,0.0,78.7,1067.0,435.6,0.0,83.7,237.7,1348.6,85.0,826.5,376.4,193.4,-47.7,-3.0,-42.6,-0.16,177.8,9.3,168.5,1566.0,988.6,1590.8,263.8,Cash $1158.1M + Investments $407.9M.
FY2016,457.1,146.7,218.8,26.1,,,,,75.8,381.3,83.4,208.3,93.4,85.5,-5.9,-1.3,4.4,0.02,129.5,34.2,95.3,743.1,0.0,731.7,193.5,IFRS. Perpetual license $65.5M included in OtherRevenue. Cash $259.7M + STI $483.4M. Diluted shares 193481K (profitable year).
FY2017,619.9,242.1,265.5,37.7,,,,,119.2,500.8,80.8,310.2,134.9,118.8,-63.1,-10.2,-42.5,-0.19,199.4,16.1,183.3,549.9,0.0,894.0,222.2,IFRS. Perpetual license $74.6M included in OtherRevenue. Cash $244.4M + STI $305.5M.
FY2018,881.0,410.7,325.9,60.6,,,,,172.7,708.3,80.4,415.8,187.3,151.2,-46.0,-5.2,-113.4,-0.49,311.5,30.2,281.2,1733.5,819.6,907.3,231.2,IFRS. Perpetual license $83.2M in OtherRevenue. Exchangeable notes $819.6M LT. Cash $1410.3M + STI $323.1M. IFRS 15 as-adjusted figures.
FY2019,1210.1,634.0,394.5,88.1,,,,,210.3,999.8,82.6,579.1,268.4,215.7,-63.4,-5.2,-637.6,-2.67,466.3,44.2,422.2,1713.5,853.6,565.5,238.6,IFRS. Perpetual license $93.6M in OtherRevenue. Notes $853.6M current (marked to market). Cash $1268.4M + STI $445.0M. Net loss primarily from derivative fair value losses.
FY2020,1614.2,931.5,469.4,118.2,,,,,268.8,1345.4,83.3,763.2,299.7,268.4,14.1,0.9,-350.7,-1.43,574.2,35.7,500.4,2156.1,889.2,575.3,244.8,IFRS. Perpetual license $95.2M in OtherRevenue. IFRS FCF = OCF $574.2M - CapEx $35.7M - Lease payments $38.1M = $500.4M. Cash $1480.0M + STI $676.1M.
FY2021,2089.1,1324.1,523.0,157.3,967.8,336.3,607.8,177.2,336.0,1753.1,83.9,963.3,372.9,315.2,101.6,4.9,-696.3,-2.79,841.3,31.5,809.8,1232.2,348.8,294.9,249.7,IFRS. Perpetual license $84.8M in OtherRevenue. Cash $919.2M + STI $313.0M. Notes $348.8M (partially settled). Net loss due to derivative losses.
FY2022,2802.9,2096.7,495.1,211.1,1515.4,560.3,525.0,202.1,452.9,2349.9,83.8,1291.9,535.8,452.2,70.1,2.5,-519.5,-2.05,821.0,70.6,750.4,1458.6,999.4,327.4,253.3,US GAAP restated (from Q4 FY23 PR). GAAP Op Income $70.1M vs ($106.5M) IFRS. GAAP Net loss ($519.5M) vs ($614.1M) IFRS. Cash $1385.3M + STI $73.3M. Term loan $999.4M drawn Jun 2022.
FY2023,3534.6,2922.6,399.7,212.3,2085.5,819.3,400.5,229.4,633.8,2900.9,82.1,1869.9,769.9,606.4,-345.2,-9.8,-486.8,-1.90,868.1,25.7,842.5,2112.6,999.6,654.7,256.3,US GAAP. Includes $262.8M restructuring charges in Q3. Cash $2102.6M + Investments $10M.
FY2024,4358.6,3908.7,177.6,273.6,2698.9,1208.5,177.6,273.6,803.5,3555.1,81.6,2184.0,877.2,610.5,-117.1,-2.7,-300.5,-1.16,1448.2,32.6,1415.6,2338.9,985.9,1032.9,259.1,US GAAP. Server EoL Feb 2024. Cash $2176.9M + Investments $162.0M. Refinanced to $1B senior notes ($500M 5.25% 2029 + $500M 5.5% 2034).
FY2025,5215.3,4914.6,0.0,300.7,3447.4,1467.2,0.0,300.7,894.8,4320.5,82.8,2669.3,1134.5,646.7,-130.4,-2.5,-256.7,-0.98,1460.4,44.9,1415.5,2937.2,987.7,1345.7,261.8,US GAAP. Cash $2512.9M + Investments $424.3M.
