Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CoreEPS,PurchaseOfIntangibles,ShareAwardSettlement
FY2020,26617.0,5299.0,21318.0,80.1,5162.0,19.4,8311.0,3196.0,12.0,2.44,4799.0,961.0,3838.0,15638.0,66729.0,51091.0,20380.0,7832.0,1313.0,277.0,,,,,,millions,USD,4.02,1645.0,349.0
H1 FY2021,15540.0,4055.0,11485.0,73.9,3022.0,19.4,4572.0,2111.0,13.6,1.6,2826.0,508.0,2318.0,15693.0,73641.0,57948.0,27495.0,15567.0,1319.0,,,,,,,millions,USD,2.53,314.0,
FY2021,37417.0,12437.0,24980.0,66.8,1056.0,2.8,7586.0,112.0,0.3,0.08,5963.0,1091.0,4872.0,39287.0,105363.0,66076.0,30781.0,6329.0,1427.0,615.0,,,,,,millions,USD,5.29,1109.0,570.0
Q1 FY2022,11390.0,3511.0,7879.0,69.2,878.0,7.7,2187.0,386.0,3.4,0.25,3232.0,219.0,3013.0,36359.0,100273.0,63914.0,31099.0,5762.0,1561.0,,,,,,,millions,USD,1.89,144.0,
H1 FY2022,22161.0,6509.0,15652.0,70.6,1417.0,6.4,4083.0,746.0,3.4,0.48,4480.0,472.0,4008.0,35951.0,96579.0,60628.0,29528.0,4817.0,1561.0,,,,,,,millions,USD,3.61,434.0,
Q3 FY2022,10983.0,2982.0,8001.0,72.8,1246.0,11.3,2580.0,1641.0,14.9,1.06,2930.0,247.0,2683.0,35154.0,94185.0,59031.0,29299.0,4458.0,1560.0,,,,,,,millions,USD,1.67,864.0,
FY2022,44351.0,12391.0,31960.0,72.1,3757.0,8.5,9237.0,3288.0,7.4,2.11,9808.0,1091.0,8717.0,37058.0,96483.0,59425.0,29232.0,6166.0,1560.0,619.0,,,,,,millions,USD,,1480.0,592.0
Q1 FY2023,10879.0,1905.0,8974.0,82.5,2549.0,23.4,4051.0,1803.0,16.6,1.16,3133.0,247.0,2886.0,35811.0,96687.0,60876.0,31503.0,6232.0,1560.0,,,,,,,millions,USD,1.92,1223.0,
H1 FY2023,22295.0,3865.0,18430.0,82.7,5005.0,22.4,7783.0,3621.0,16.2,2.32,4851.0,517.0,4334.0,37416.0,96543.0,59127.0,29838.0,5664.0,1560.0,,,,,,,millions,USD,4.07,1436.0,
Q3 FY2023,11492.0,2095.0,9397.0,81.8,1954.0,17.0,3236.0,1374.0,12.0,0.89,3114.0,319.0,2795.0,37221.0,96086.0,58865.0,28576.0,4871.0,1560.0,,,,,,,millions,USD,1.73,560.0,
FY2023,45811.0,8268.0,37543.0,82.0,8193.0,17.9,13580.0,5955.0,13.0,3.81,10345.0,1361.0,8984.0,39166.0,101119.0,61953.0,28622.0,5840.0,1562.0,579.0,,,,,,millions,USD,,2417.0,650.0
Q1 FY2024,12679.0,2218.0,10461.0,82.5,3115.0,24.6,4370.0,2179.0,17.2,1.4,2486.0,417.0,2069.0,37501.0,102293.0,64792.0,34551.0,7841.0,1560.0,,,,,,,millions,USD,2.06,1188.0,
H1 FY2024,25617.0,4401.0,21216.0,82.8,5861.0,22.9,8395.0,4106.0,16.0,2.63,5571.0,799.0,4772.0,39598.0,104340.0,64742.0,33533.0,6916.0,1560.0,,,,,,,millions,USD,4.03,1474.0,
Q3 FY2024,13565.0,3081.0,10484.0,77.3,2106.0,15.5,3923.0,1429.0,10.5,0.92,3383.0,417.0,2966.0,40805.0,104922.0,64117.0,31562.0,4797.0,1562.0,,,,,,,millions,USD,2.08,941.0,
FY2024,54073.0,10207.0,43866.0,81.1,10003.0,18.5,16691.0,7035.0,13.0,4.5,11861.0,1924.0,9937.0,40871.0,104035.0,63164.0,30295.0,5488.0,1563.0,660.0,,,,,,millions,USD,,2662.0,618.0
Q1 FY2025,13588.0,2241.0,11347.0,83.5,3674.0,27.0,4958.0,2916.0,21.5,1.87,3713.0,429.0,3284.0,41131.0,106253.0,65122.0,31646.0,5230.0,1561.0,,,,,,,millions,USD,2.49,540.0,
H1 FY2025,28045.0,4714.0,23331.0,83.2,7182.0,25.6,9855.0,5366.0,19.1,3.44,7099.0,1088.0,6011.0,44810.0,112422.0,67612.0,32839.0,7058.0,1560.0,,,,,,,millions,USD,4.66,1804.0,
Q3 FY2025,15191.0,2801.0,12390.0,81.6,3583.0,23.6,5132.0,2533.0,16.7,1.64,5134.0,686.0,4448.0,45971.0,114456.0,68485.0,32632.0,8143.0,1561.0,,,,,,,millions,USD,2.38,1040.0,
FY2025,58739.0,10633.0,48106.0,81.9,13743.0,23.4,19476.0,10225.0,17.4,6.54,14575.0,2810.0,11765.0,48719.0,114074.0,65355.0,29622.0,5711.0,1562.0,719.0,,,,,,millions,USD,,3095.0,353.0
