Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,NetIncome,EPS,FreeCashFlow,OperatingCashFlow,CapEx,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,VehicleSales,NEVSales,RnDExpense
FY2019,121778.1,18076.0,14.8,2431.1,1614.5,0.50,5212.8,14741.0,9528.2,56762.3,35989.0,11674.3,2728.1,,,5629.4
Q1 2020,19678.5,,,,112.6,0.02,,4948.7,,,,,,,,
Q2 2020,38349.5,,,,1549.8,,,10589.7,,,,,,,,
Q3 2020,44519.6,,,,1751.1,0.62,,13125.1,,,,,,,,
Q4 2020,48446.6,,,,820.7,,,16729.2,,56874.3,,13738.5,,,,
FY2020,153469.2,27243.6,17.8,6882.6,4234.3,1.47,39428.2,45392.7,5964.5,56874.3,51270.0,13738.5,2728.1,,,7464.9
Q1 2021,40991.9,,,,237.4,0.08,,141.9,,,,,,,,
Q2 2021,48138.9,,,,936.2,,,9534.9,,,,,,,,
Q3 2021,54307.0,,,,1269.5,0.44,,22196.9,,,,,,,,
Q4 2021,70950.0,,,,602.1,,,33593.0,,95069.7,,49819.9,,,,
FY2021,216142.4,28144.7,13.0,4632.0,3045.2,1.06,28123.1,65466.7,37343.6,95069.7,35392.0,49819.9,2911.1,,,7991.0
Q1 2022,66825.2,,,1061.2,808.4,0.28,-1521.1,11933.3,13454.4,95844.6,28190.2,41929.2,2911.1,,,
Q2 2022,83782.1,,,3560.9,2786.9,0.96,8578.0,31251.9,22673.9,96609.0,31573.4,44686.2,2911.1,,,
Q3 2022,117080.6,,,7463.3,5716.2,1.97,19701.7,47851.6,28149.9,102513.7,26052.1,41626.2,2911.1,,,
Q4 2022,156372.8,,,9456.4,7311.0,2.51,16622.3,49801.0,33178.7,111029.3,21828.8,51471.3,2911.1,,,
FY2022,424060.6,72245.0,17.0,21541.8,16622.4,5.71,43381.0,140837.7,97456.9,111029.3,21829.0,51471.3,2911.1,,,18654.5
Q1 2023,120173.6,,,5298.6,4130.1,1.42,-17892.0,14465.7,32357.7,115576.6,34734.8,54891.8,2911.1,,,6237.9
Q2 2023,139950.6,,,8432.7,6824.0,2.34,33926.3,67505.5,33579.2,119665.5,27674.0,79811.3,2911.1,,,7596.7
Q3 2023,162150.7,,,12906.0,10412.8,3.58,-19140.9,15889.1,35030.0,129855.7,28462.5,55759.8,2911.1,,,
Q4 2023,180040.6,,,11465.8,8673.9,2.98,50738.0,71864.7,21126.7,138810.1,46885.0,109094.4,2911.1,,,
FY2023,602315.4,121757.0,20.2,38103.1,30040.8,10.32,47631.5,169725.0,122093.5,138810.1,46885.0,109094.4,2911.1,,,39574.9
Q1 2024,124944.4,27341.0,21.9,5798.5,4568.8,1.57,-15866.3,10228.0,26094.3,143090.2,44983.4,86178.7,2911.1,,,10610.7
Q2 2024,176182.3,32925.7,18.7,11524.8,9062.5,3.11,-17181.1,3950.3,21131.4,142787.2,38770.5,53053.3,2909.3,,,9010.1
Q3 2024,201124.6,,,14423.3,11607.0,4.00,19753.3,42045.3,22292.0,155462.4,49396.0,66319.4,2909.3,,,
Q4 2024,274851.2,,,18739.4,15016.2,5.16,49338.4,77180.6,27842.2,185251.1,41651.9,102256.5,2909.3,,,
FY2024,777102.5,151055.8,19.4,50486.0,40254.3,13.84,36093.5,133453.9,97359.8,185251.1,41651.9,102256.5,2909.3,,,53194.7
Q1 2025,170360.4,34185.0,20.1,11020.6,9155.0,3.12,-28695.5,8581.0,37276.5,233361.3,41128.0,117406.7,3039.1,,,14223.0
Q2 2025,200920.6,32680.9,16.3,7699.0,6355.5,,-19995.5,23252.5,43248.0,232166.4,40187.4,111734.3,3039.1,,,15373.4
Q3 2025,194984.6,34346.0,17.6,10186.1,7822.6,0.85,-25396.8,9012.0,34408.8,245515.5,96986.2,119725.1,9117.2,,,14152.0
